"","Observed","Shannon","Simpson"
"X103",771,6.64768837356324,0.998702983138781
"X120",433,6.07073772800246,0.997690531177829
"X123",134,4.89783979995091,0.992537313432836
"X150",131,4.87519732320117,0.99236641221374
"X152",266,5.58349630878171,0.996240601503759
"X156",755,6.62671774924896,0.998675496688742
"X160",136,4.91265488573606,0.99264705882353
"X169",562,6.33150184989365,0.998220640569395
"X173",603,6.40191719672727,0.998341625207297
"X178",382,5.9454206086066,0.99738219895288
"X180",297,5.69373213880273,0.996632996632997
"X184",671,6.50876913697169,0.998509687034277
"X186",424,6.04973345523196,0.997641509433962
"X195",110,4.70048036579242,0.990909090909091
"X198",362,5.8916442118258,0.997237569060773
"X2",713,6.56948142041418,0.99859747545582
"X20",819,6.70808408385301,0.998778998778999
"X200",372,5.91889385427318,0.997311827956989
"X203",105,4.65396035015753,0.99047619047619
"X205",1039,6.94601399109933,0.999037536092397
"X207",162,5.0875963352324,0.993827160493827
"X214",177,5.17614973257382,0.994350282485876
"X216",11,2.39789527279837,0.909090909090909
"X22",494,6.2025355171879,0.997975708502024
"X237",607,6.40852879105946,0.99835255354201
"X238",25,3.2188758248682,0.96
"X24",624,6.43615036836934,0.998397435897436
"X246",463,6.13772705408616,0.997840172786177
"X262",459,6.12905021006052,0.997821350762527
"X264",363,5.89440283426483,0.997245179063361
"X268",44,3.78418963391827,0.977272727272727
"X283",75,4.3174881135363,0.986666666666667
"X284",624,6.43615036836934,0.998397435897436
"X287",1317,7.18311170174334,0.999240698557327
"X297",17,2.83321334405622,0.941176470588235
"X298",36,3.58351893845611,0.972222222222222
"X31",442,6.09130988207767,0.997737556561086
"X319",447,6.10255859461353,0.997762863534676
"X32",446,6.10031895202012,0.997757847533632
"X326",584,6.36990098282817,0.998287671232877
"X327",275,5.61677109766655,0.996363636363636
"X329",621,6.43133108193352,0.998389694041868
"X342",474,6.16120732169504,0.99789029535865
"X346",378,5.93489419561961,0.997354497354497
"X348",693,6.54102999918995,0.998556998556999
"X35",312,5.7430031878095,0.996794871794872
"X350",853,6.74875954749178,0.998827667057444
"X352",63,4.14313472639154,0.984126984126984
"X357",788,6.66949808985783,0.998730964467005
"X363",52,3.95124371858143,0.980769230769231
"X365",1543,7.34148385236335,0.999351911860013
"X371",77,4.34380542185368,0.987012987012987
"X372",462,6.13556489108177,0.997835497835498
"X373",705,6.5581978028123,0.998581560283688
"X377",575,6.3543700407973,0.998260869565217
"X39",200,5.29831736654802,0.995
"X42",514,6.24222326545518,0.998054474708171
"X48",476,6.16541785423144,0.997899159663866
"X54",242,5.48893772615668,0.995867768595041
"X55",1277,7.15226885603244,0.999216914643696
"X63",950,6.85646198459463,0.998947368421053
"X66",451,6.11146733950263,0.997782705099778
"X70",378,5.93489419561961,0.997354497354497
"X77",1204,7.09340462586891,0.999169435215947
"X8",1014,6.92165818415112,0.999013806706114
"X87",353,5.86646805693334,0.997167138810198
"X88",552,6.31354804627704,0.998188405797101
"X93",266,5.58349630878171,0.996240601503759
"X95",77,4.34380542185368,0.987012987012987
"X97",165,5.10594547390059,0.993939393939394
